Gene_ID,Gene_symbol,Entrez_ID,Chr,Start,End,Middle,Strand
ENSMUSG00000000001,Gnai3,14679,3,108.10728,108.146146,108.126713,-
ENSMUSG00000000028,Cdc45,12544,16,18.780447,18.811987,18.796217,-
ENSMUSG00000000031,H19,95891,7,142.575529,142.578143,142.576836,-
ENSMUSG00000000037,Scml2,107815,X,161.117193,161.258213,161.187703,+
ENSMUSG00000000049,Apoh,11818,11,108.343354,108.414396,108.378875,+
ENSMUSG00000000056,Narf,67608,11,121.237253,121.255856,121.2465545,+
ENSMUSG00000000058,Cav2,12390,6,17.281185,17.289115,17.28515,+
ENSMUSG00000000078,Klf6,23849,13,5.861489,5.870393,5.865941,+
ENSMUSG00000000085,Scmh1,29871,4,120.405281,120.530186,120.4677335,+
ENSMUSG00000000088,Cox5a,12858,9,57.521232,57.532424,57.526828,+
ENSMUSG00000000093,Tbx2,21385,11,85.832551,85.841948,85.8372495,+
ENSMUSG00000000094,Tbx4,21387,11,85.886422,85.916097,85.9012595,+
ENSMUSG00000000120,Ngfr,18053,11,95.568818,95.587735,95.5782765,-
ENSMUSG00000000125,Wnt3,22415,11,103.77415,103.817957,103.7960535,+
ENSMUSG00000000126,Wnt9a,216795,11,59.306928,59.333552,59.32024,+
ENSMUSG00000000127,Fer,14158,17,63.896018,64.139494,64.017756,+
ENSMUSG00000000131,Xpo6,74204,7,126.101715,126.200501,126.151108,-
ENSMUSG00000000134,Tfe3,209446,X,7.76256,7.775202,7.768881,+
ENSMUSG00000000142,Axin2,12006,11,108.920349,108.950783,108.935566,+
ENSMUSG00000000148,Brat1,231841,5,140.705011,140.719379,140.712195,+
ENSMUSG00000000149,Gna12,14673,5,140.758408,140.830431,140.7944195,-
ENSMUSG00000000154,Slc22a18,18400,7,143.473736,143.499334,143.486535,+
ENSMUSG00000000159,Igsf5,72058,16,96.361668,96.52558,96.443624,+
ENSMUSG00000000167,Pih1d2,72614,9,50.617321,50.625,50.6211605,+
